202601051748,2026-01-05 17:48,
202601051751,2026-01-05 17:51,
202601051757,2026-01-05 17:57,120.33
202601051802,2026-01-05 18:02,
202601051902,2026-01-05 19:02,
202601052002,2026-01-05 20:02,120.33
202601052102,2026-01-05 21:02,
202601052202,2026-01-05 22:02,
202601061202,2026-01-06 12:02,
202601061302,2026-01-06 13:02,
202601061402,2026-01-06 14:02,
202601061502,2026-01-06 15:02,
202601061602,2026-01-06 16:02,
202601061702,2026-01-06 17:02,
202601061802,2026-01-06 18:02,
202601061902,2026-01-06 19:02,
202601062002,2026-01-06 20:02,
202601062102,2026-01-06 21:02,
202601062202,2026-01-06 22:02,
202601062302,2026-01-06 23:02,
202601070002,2026-01-07 00:02,
202601070102,2026-01-07 01:02,
202601070202,2026-01-07 02:02,
202601070302,2026-01-07 03:02,
202601070402,2026-01-07 04:02,
202601070502,2026-01-07 05:02,
202601070602,2026-01-07 06:02,
202601070702,2026-01-07 07:02,
202601070802,2026-01-07 08:02,
202601070902,2026-01-07 09:02,
202601071002,2026-01-07 10:02,
202601071102,2026-01-07 11:02,
202601081402,2026-01-08 14:02,
202601081502,2026-01-08 15:02,
202601081602,2026-01-08 16:02,
202601081702,2026-01-08 17:02,
2026011520,2026-01-15 20:00,
2026011610,2026-01-16 10:00,
2026011610,2026-01-16 10:16,
2026011612,2026-01-16 12:00,
2026011612,2026-01-16 12:00,
2026011612,2026-01-16 12:00,
